site,resolution,variant,model,method,r2,mae_kwh,n_samples
reactor,quarterly,fair,physics,time_split,0.6072,0.7607,18812
reactor,quarterly,fair,linear,time_split,0.7878,0.5932,18812
reactor,quarterly,fair,forest,time_split,0.8738,0.3572,18812
reactor,quarterly,fair,boosting,time_split,0.8647,0.4008,18812
reactor,quarterly,fair,physics,random,0.7141,0.4394,18812
reactor,quarterly,fair,linear,random,0.8429,0.37,18812
reactor,quarterly,fair,forest,random,0.9446,0.132,18812
reactor,quarterly,fair,boosting,random,0.9425,0.1494,18812
reactor,quarterly,fair,physics,ts_cv,0.6706,0.471,18812
reactor,quarterly,fair,linear,ts_cv,0.7774,0.4032,18812
reactor,quarterly,fair,forest,ts_cv,0.7522,0.2869,18812
reactor,quarterly,fair,boosting,ts_cv,0.7512,0.2879,18812
reactor,quarterly,fair_lag,physics,time_split,0.6072,0.7607,18812
reactor,quarterly,fair_lag,linear,time_split,0.8494,0.4617,18812
reactor,quarterly,fair_lag,forest,time_split,0.8448,0.3913,18812
reactor,quarterly,fair_lag,boosting,time_split,0.8646,0.382,18812
reactor,quarterly,fair_lag,physics,random,0.7141,0.4394,18812
reactor,quarterly,fair_lag,linear,random,0.8828,0.2621,18812
reactor,quarterly,fair_lag,forest,random,0.9449,0.1297,18812
reactor,quarterly,fair_lag,boosting,random,0.9441,0.1464,18812
reactor,quarterly,fair_lag,physics,ts_cv,0.6706,0.471,18812
reactor,quarterly,fair_lag,linear,ts_cv,0.8369,0.3066,18812
reactor,quarterly,fair_lag,forest,ts_cv,0.7921,0.2696,18812
reactor,quarterly,fair_lag,boosting,ts_cv,0.7822,0.2696,18812
reactor,daily,all,physics,time_split,0.362,22.5159,196
reactor,daily,all,linear,time_split,0.7039,16.5649,196
reactor,daily,all,forest,time_split,0.3622,26.2538,196
reactor,daily,all,boosting,time_split,0.3164,26.4422,196
reactor,daily,all,physics,random,0.7416,15.4762,196
reactor,daily,all,linear,random,0.8833,9.6825,196
reactor,daily,all,forest,random,0.8359,11.4453,196
reactor,daily,all,boosting,random,0.8447,10.9997,196
reactor,daily,all,physics,ts_cv,0.2825,16.8461,196
reactor,daily,all,linear,ts_cv,-0.3527,15.2094,196
reactor,daily,all,forest,ts_cv,0.0274,19.0982,196
reactor,daily,all,boosting,ts_cv,-0.344,22.9168,196
reactor,daily,fair,physics,time_split,0.362,22.5159,196
reactor,daily,fair,linear,time_split,0.7059,16.4333,196
reactor,daily,fair,forest,time_split,0.3704,26.1965,196
reactor,daily,fair,boosting,time_split,0.3164,26.4422,196
reactor,daily,fair,physics,random,0.7416,15.4762,196
reactor,daily,fair,linear,random,0.8874,9.4545,196
reactor,daily,fair,forest,random,0.835,11.6281,196
reactor,daily,fair,boosting,random,0.8447,10.9997,196
reactor,daily,fair,physics,ts_cv,0.2825,16.8461,196
reactor,daily,fair,linear,ts_cv,-0.3749,15.4032,196
reactor,daily,fair,forest,ts_cv,0.0307,19.0782,196
reactor,daily,fair,boosting,ts_cv,-0.3439,22.9052,196
reactor,daily,fair_lag,physics,time_split,0.362,22.5159,196
reactor,daily,fair_lag,linear,time_split,0.782,13.3186,196
reactor,daily,fair_lag,forest,time_split,0.3832,26.0092,196
reactor,daily,fair_lag,boosting,time_split,0.2461,28.2414,196
reactor,daily,fair_lag,physics,random,0.7416,15.4762,196
reactor,daily,fair_lag,linear,random,0.8879,9.5087,196
reactor,daily,fair_lag,forest,random,0.8407,11.2063,196
reactor,daily,fair_lag,boosting,random,0.8392,11.5637,196
reactor,daily,fair_lag,physics,ts_cv,0.2825,16.8461,196
reactor,daily,fair_lag,linear,ts_cv,-1.6065,17.2524,196
reactor,daily,fair_lag,forest,ts_cv,-0.006,19.5036,196
reactor,daily,fair_lag,boosting,ts_cv,-0.3117,22.4805,196
